artist_name,artist_mbid,artist_listeners,artist_playcount
Linearwave,0a504921-96ed-4867-bcac-9b49be5ef793,250426,1946470
Vansire,0a7920d5-135b-4bca-885c-ebd79f0d5d9f,1097113,20919131
Farazi,0a816f8b-24bd-4898-a872-38c8ef9514a4,45248,1042203
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,5207940,187521486
Bugseed,0ac8acec-5828-449d-8dbe-9d7a1293673a,123536,1075522
Trinidad Cardona,0b0d11f2-3358-4838-b521-04de4291ac45,261683,2530175
Bruiser Wolf,0b19fa34-ca87-4999-abe6-a1515ae46c42,27975,415478
Lil Nas X,0b30341b-b59d-4979-8130-b66c0e475321,2010519,93618059
Rui Reininho,0b3bdee1-e1ea-4542-889a-c435b99ad234,2252,18774
Hailu Mergia,0b40d946-2362-4445-90f6-a3a5f333bd30,153267,1777898
Witt Lowry,0b4ce616-79c3-471c-9792-1b8767eca03a,220499,5293545
Omar Apollo,0b966a38-5ad9-43c1-b86b-c07079523165,1027412,39073575
Twista,0bc858a1-3573-4216-9423-c96dd8c72919,1231719,11147504
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,589708,22108179
Paulo Gonzo,0bed69b8-e010-462f-8616-3dd1fa11f666,17037,135672
Classificados,0c17f718-de70-43ae-b987-97a53f7c7be8,653,7035
Kara Jackson,0c3fe1fa-edd0-471c-b6a1-87472da86167,68176,989883
cocabona,0c60cfb6-69d8-4159-b413-b89da0c52fed,120842,535788
Animal Collective,0c751690-c784-4a4f-b1e4-c1de27d47581,1605030,100192961
Fiji Blue,0d36c13c-eb19-4052-be39-c47965d45c65,251880,4165679
SONN,0d690bef-b62b-4f1b-a081-0340377d3417,100879,430402
Jonas Langer,0dd814a1-520e-49f4-b69e-6f34d178b2a8,17010,52795
FOREIGN FOREST,0e594664-a1ba-44cf-b605-cd1e8519cde1,39002,722568
Ian Ewing,0e620ca7-a47e-45ec-9c20-0ab274db14c1,155860,1152159
CHAI,0e84b561-5a1b-460d-bd14-35dad2abcc08,173579,2258101
Alex Cameron,0eabad49-1814-453a-8555-8a21edfbf0f4,166600,4174165
Sunflowers,0eca3ae5-0020-4011-a505-86ec487cd328,17323,131322
Ibibio Sound Machine,0ece139d-19a4-44c6-85e6-0406e8055a21,90983,884754
Johnny Nash,0efaa6e3-3ef1-4481-bc01-aa3d5901dbdc,391157,1991480
Angelo De Augustine,0f0ce7aa-bc8d-4af6-9861-8d98b3311dd8,234847,2752738
SAINt JHN,0f16ba6c-1874-42b9-b7a6-e060c2be454e,783051,17336817
Wünsche,0f59fb88-17f5-477f-8a36-503db73a99de,55302,336019
EU.CLIDES,0f648783-5626-4c38-8e29-23f520245e26,8872,155041
Car Seat Headrest,0fabbc1d-8d94-4a61-bd1d-1099ad1e4559,955271,102549982
Jebroer,0fc3ed5c-eeb7-45b4-b222-132dae4834ef,79977,1301974
24kGoldn,0fe5df51-ba65-4784-ba85-7d024a107a8a,895037,18073181
Ameer Vann,10299fc6-ace5-4c3c-bec9-0e12dd141d9e,197444,3069056
Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b,3819952,217606930
Kevin Johansen,1075ffe4-db71-4ac7-bd4c-0afa1ef6947f,171663,3446468
Blue Wednesday,1077e53e-c8e8-4492-9813-31f71677e6f9,311344,2825146
Thaehan,10a8c640-bbe0-4299-9e84-d433e6557615,144450,930043
Busta Rhymes,10a9ff92-9637-4498-afea-7044b2ab0dc0,1859624,22307380
Barrie,10ad0e36-3ac3-4f7f-a48c-4dd91a26ed6b,245418,2082699
Massive Attack,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,3022566,143199018
Bicep,10e8f0df-90f9-4957-aedd-c4e0d187e3a8,447604,9750689
Plusma,10e9397c-f2c4-4618-9772-625c4421415c,161982,1070704
Elior,10ffd189-faff-4468-9503-995034f3e655,195842,1231569
Lil Mariko,11731c60-290c-4e73-9e41-317a84302df2,126693,2093687
Keem The Cipher,1198f5a2-643f-434b-b741-6c1cad7a4d2a,95364,527981
The White Stripes,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,4007425,157256341
Blazo,11b66489-1b5e-45cd-b920-639cb3861a99,118074,2413746
Drunken Masters,11b9f6be-db85-4c54-a6f5-e9468f7044f3,37420,261686
Molchat Doma,11bcbbf4-1252-496a-b747-06942f3d76db,684809,19752901
Michael Kiwanuka,11f570ff-44d9-4e9c-8812-e6d56103c5c1,773370,17075763
E L U C I D,1206c904-9282-494d-b9c7-49e8fb201e69,32696,729109
tobi lou,122a8e96-52f5-48aa-8944-44807dbcef45,552857,9632590
Aminé,12398bf3-1b99-47b7-930c-f3956773f35a,1143213,46346457
Cities Aviv,12416eaf-f1b6-4f20-9d00-a6e4376e765b,256933,7038411
Lukas Graham,124cec07-44f1-4a99-9aaa-96a5bb9ec0bd,884915,11957672
3OH!3,125948ec-7f91-4d1a-8b83-accbf50fae3d,1462439,37030817
HNNY,1292fb51-2c42-4c3e-b726-7e8cf0d51715,304075,2857875
Arooj Aftab,12d0b276-b102-4779-ac35-6939c584d9da,92518,1175482
Xutos & Pontapés,12f2de9e-83d0-48ee-902b-c73d7a7cb6c9,36034,957839
The Proclaimers,1303b976-b862-4f04-94fd-a8d444e06714,985061,8620307
Sampha,130c2184-14f2-4180-a216-04b5a333be57,551943,14983054
Jack Harlow,134cb0bc-06fa-42f7-8078-b0c858349975,1352740,55957551
Nelly Furtado,13655113-cd16-4b43-9dca-cadbbf26ee05,3573326,73007029
fun.,136c4166-85b3-4994-aa04-59857c434199,2012627,40260705
Noname,1395c84b-2e84-4f25-9962-f1c0d5aa31ed,484599,14144126
Bobby Caldwell,139a00a8-6b21-47c3-9315-60ac5ab2c715,556038,5447484
Kero One,13b58f42-ae0c-4d29-96c7-6fe0a163a766,148163,1785872
Rick Ross,13bcb2bb-db37-4397-baf5-e0f085be2d64,2112650,27096320
Lightfoot,140f0d51-8677-43b7-b98e-f4775726b48a,20580,60674
Stray Kids,142b343d-bf5a-428c-a64f-6d1a7566bbe9,724912,238319911
tusken.,146f6088-adfa-4f03-87ce-18144128725b,103435,601216
Jeff Rosenstock,14892f45-a103-44f2-bb18-ee4a20d7876e,305082,21901440
Pharrell Williams,149f91ef-1287-46da-9a8e-87fee02f1471,2370499,35388709
Tohaj,14d2e544-1b0d-42d7-9327-4a4b7bcd4d58,61993,164426
Karen O,14d44067-99c2-4f77-b58b-138f0b6911fa,390925,5159498
Corona,14e86dea-3562-4b19-bb1a-f1e71ffb57e4,601533,3926257
Pusha T,14ecd19f-7121-4192-8549-e5056241a42f,1236516,47228885
FINNEAS,151cd917-1ee2-4702-859f-90899ad897f8,776455,21725166
Lil B,1550f952-c91b-40d7-9b4d-d26a259ee932,459194,16626716
BaianaSystem,15741996-1794-42a8-a2c7-1ce3e32d0d75,124577,5108408
King Princess,158778fe-55c1-4dd5-8a3a-9d1b968a5e52,711345,18031905
Nujabes,1595addf-f76b-450a-a097-af852ff35f27,730543,53869129
GEOFFROY,15a2329c-bef6-4320-afff-4dde20b0a3f6,58182,432492
Fugi,15aca6ce-5c1c-4126-bb65-fba282389855,5062,28341
Filipe Karlsson,15b96f55-3d46-4b29-a1ce-bfbbfec51de3,5853,138661
iLe Flottante,161a7560-790d-47fa-9d1d-46a207bd12d8,23065,65865
KNOWER,16356604-2efc-4c50-97d1-4ddd3d6229ee,112491,2148433
Cap Kendricks,16411e1c-becd-4415-bf1a-067d9f9a21aa,141018,636048
Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051,6544761,1002443209
Moor Mother,16610cf1-5ed5-4770-89b4-bf7e7aca7ebf,82589,1649577
Jaden,166cb987-3156-4166-b0d3-f1ad5a6c514c,935499,37386996
Armand Hammer,167a6f86-2c26-43fe-82f0-e4c8a39ea490,204364,7370170
Ornette Coleman,169c0d1b-fcb8-4a43-9097-829aa7b39205,325540,4048718
PINK GUY,16c30e33-0f97-4146-9bec-dc21d074eaec,354619,7853541
Hardwell,170d6637-36e0-49dd-a225-c4fd5b77a285,653186,14237678
Tom MacDonald,171a57fb-1a66-4094-8373-72c7d1b0c621,105458,2375742
Father John Misty,172053e5-a7fb-4548-a64d-c53858b5e775,1052795,40514686
Manuel de Falla,17268036-f51c-427c-a8a2-241fac69d39f,131119,657010
Nick Cave & the Bad Seeds,172e1f1a-504d-4488-b053-6344ba63e6d0,1750724,84730247
Santana,17d218e4-3c75-45af-88f9-d47ed2f75e39,2256666,38796549
Seafret,1802f74a-21e5-44f4-9da5-8ea3ac6ce34c,754153,12622636
Tanlines,1828f695-763c-4194-9b16-44c82bb0f9d1,244955,2741205
They Might Be Giants,183d6ef6-e161-47ff-9085-063c8b897e97,1005816,41284103
Janeiro,184bfc03-5a31-4f43-9e70-1cbb2e9581e9,15556,232036
Angel Olsen,185527bf-c293-4c24-8213-ed98fb8976be,766388,30551585
Octavian,187bbdde-343a-4978-9cb4-08df62e18986,297163,4592907
Sabrina Carpenter,1882fe91-cdd9-49c9-9956-8e06a3810bd4,1511510,118997867
MF DOOM,188711ed-c99b-439c-844a-ca831f63a727,1617326,103087290
Peach Pit,1888892a-06b7-4bbd-b0a1-3ffde01e4094,765849,28219705
The Long Faces,18dab8ad-3d93-46aa-b153-2f22772ea5bc,102847,1159377
18yoman,,6916,26412
The Chemical Brothers,1946a82a-f927-40c2-8235-38d64f50d043,2582253,73507749
Jorge Ben,19499124-36d4-4ccc-b28d-04dde3d2076f,423595,11741333
Lilac,1967c6ce-95a4-48f0-8ac7-abe637524aee,289554,2825827
Frank Sinatra,197450cd-0124-4164-b723-3c22dd16494d,3735477,115265405
MUNA,19991eaf-c64b-4db7-bc06-12cade54bfe5,574402,22288316
Beowülf,19a55de5-7de2-4ee4-8142-ea4b519f3e58,171462,1872783
Moose Dawa,19ea9137-1914-4c03-850a-df4c05c524e0,84784,408332
RJD2,1a120ec5-35b3-4f3e-aa49-7201550d9feb,1123767,30365085
Lee Fields & The Expressions,1a4c8b49-4a55-4299-b1c8-82e33e319f33,275096,2991812
Noveliss,1a5145b2-fc9c-40c3-a274-fe44c79a8ab4,4451,72318
Grant Green,1a88b270-d763-48d5-a62c-2bb9cabb140c,388172,3902490
Todd Rundgren,1a9a8ca0-ea8e-4e9e-96aa-288155bb2c5d,657032,9803832
Alex Wiley,1acf1644-ed1e-4513-87c0-346310eb42e4,79857,759363
Franz,1af07433-d798-46ab-a070-1e89a68fc8e3,47040,168318
Model/Actriz,1b6bd9dc-c944-4937-94ec-b2276141fa36,86132,1693210
Tokio Myers,1b737843-09a7-4042-9656-7a6022f584e6,18336,192087
Kate Bollinger,1b99910f-26fd-4397-9ac6-525b0c5b6f92,314470,2954524
Donald Glover & Danny Pudi,1ba01bce-7f32-4d72-a5d9-34930b191656,26007,234100
Chet Baker,1ba1d493-7114-45e2-b163-a36d49a0c065,1418457,34283639
Silver Jews,1bc2d696-c0e2-480d-87ed-17b2a82d7983,454820,13524690
